epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2867.5,0.81592,0.42114,0.85623,0.66671,0.44172,0.51981,0.22751,2.02828,0.96859,0.94922,0.0003962,0.0003962,0.0003962
83,2902.02,0.80655,0.45059,0.86017,0.66671,0.44172,0.51981,0.22751,2.02828,0.96859,0.94922,0.0003764,0.0003764,0.0003764
84,2936.43,0.87895,0.43682,0.84775,0.65821,0.42893,0.51549,0.21486,2.09642,0.97265,0.9583,0.0003566,0.0003566,0.0003566
85,2970.83,0.8289,0.42509,0.83059,0.65821,0.42893,0.51549,0.21486,2.09642,0.97265,0.9583,0.0003368,0.0003368,0.0003368
86,3005.37,0.7642,0.40761,0.83586,0.65015,0.43401,0.51584,0.20917,2.12785,0.96917,0.96143,0.000317,0.000317,0.000317
87,3039.48,0.73642,0.40606,0.87117,0.65015,0.43401,0.51584,0.20917,2.12785,0.96917,0.96143,0.0002972,0.0002972,0.0002972
88,3074.31,0.86949,0.43038,0.84883,0.65643,0.42893,0.51591,0.21235,2.10383,0.96382,0.95859,0.0002774,0.0002774,0.0002774
89,3108.43,0.74725,0.393,0.82772,0.65643,0.42893,0.51591,0.21235,2.10383,0.96382,0.95859,0.0002576,0.0002576,0.0002576
90,3143.66,0.82761,0.43051,0.82486,0.68958,0.40609,0.51128,0.21885,2.04903,0.95847,0.95592,0.0002378,0.0002378,0.0002378
91,3178.05,0.77729,0.39745,0.83368,0.68958,0.40609,0.51128,0.21885,2.04903,0.95847,0.95592,0.000218,0.000218,0.000218
92,3212.48,0.8276,0.41516,0.85983,0.64868,0.40771,0.5156,0.2269,2.00333,0.97107,0.95236,0.0001982,0.0001982,0.0001982
93,3246.53,0.76849,0.4151,0.83526,0.64868,0.40771,0.5156,0.2269,2.00333,0.97107,0.95236,0.0001784,0.0001784,0.0001784
94,3280.84,0.80507,0.4199,0.83526,0.65866,0.39848,0.52241,0.23327,1.98646,0.97137,0.94748,0.0001586,0.0001586,0.0001586
95,3315,0.79522,0.39827,0.85403,0.65866,0.39848,0.52241,0.23327,1.98646,0.97137,0.94748,0.0001388,0.0001388,0.0001388
96,3349.36,0.783,0.41363,0.83344,0.6578,0.40863,0.52216,0.23275,1.98449,0.96675,0.94495,0.000119,0.000119,0.000119
97,3383.35,0.71469,0.37453,0.82088,0.6578,0.40863,0.52216,0.23275,1.98449,0.96675,0.94495,9.92e-05,9.92e-05,9.92e-05
98,3417.66,0.72727,0.38102,0.83958,0.56082,0.45178,0.52336,0.23145,1.98185,0.96214,0.94286,7.94e-05,7.94e-05,7.94e-05
99,3451.88,0.75711,0.39409,0.83032,0.56082,0.45178,0.52336,0.23145,1.98185,0.96214,0.94286,5.96e-05,5.96e-05,5.96e-05
100,3486.34,0.78062,0.39448,0.82613,0.59786,0.43401,0.52522,0.23286,1.98092,0.96064,0.94265,3.98e-05,3.98e-05,3.98e-05
